Contract,InternetService,n,churn_rate
Month-to-month,DSL,1221,32.3
Month-to-month,Fiber optic,2128,54.6
One year,DSL,570,9.3
One year,Fiber optic,539,19.3
Two year,DSL,628,1.9
Two year,Fiber optic,429,7.2
